,Province,City,District / County,Post Code,Address,Latitude,Longitude
173,Fujian,Fuzhou,Pingtan,350400,"Pingtan,Fuzhou,Fujian,China",25.516667,119.7925262
174,Fujian,Fuzhou,Fuqing,350300,"Fuqing,Fuzhou,Fujian,China",25.7237321,119.3795377
175,Fujian,Xiamen,Siming,361000,"Siming,Xiamen,Fujian,China",24.4660028,118.123878957677
176,Fujian,Xiamen,Jimei,361000,"Jimei,Xiamen,Fujian,China",24.6494075,118.013487950659
177,Fujian,Xiamen,Haicang District,361000,"Haicang District,Xiamen,Fujian,China",24.5438644,117.966292282236
178,Fujian,Xiamen,Huli District,361000,"Huli District,Xiamen,Fujian,China",24.5197379,118.122750893812
179,Fujian,Xiamen,Tongan,361100,"Tongan,Xiamen,Fujian,China",24.7254351,118.1470669
180,Fujian,Xiamen,Xiang'an,361100,"Xiang'an,Xiamen,Fujian,China",24.620611,118.2434276
181,Fujian,Quanzhou,Licheng District,362000,"Licheng District,Quanzhou,Fujian,China",24.910564,118.5822144
182,Fujian,Quanzhou,Quangang District,362100,"Quangang District,Quanzhou,Fujian,China",25.16653155,118.840906815585
183,Fujian,Quanzhou,Yongchun County,362600,"Yongchun County,Quanzhou,Fujian,China",25.3620509,118.1365912
184,Fujian,Quanzhou,Shishi,362700,"Shishi,Quanzhou,Fujian,China",24.74149825,118.672703771017
185,Fujian,Quanzhou,Fengze District,362000,"Fengze District,Quanzhou,Fujian,China",24.8928541,118.6084597
186,Fujian,Quanzhou,Luojiang District,362000,"Luojiang District,Quanzhou,Fujian,China",24.9428767,118.6667601
187,Fujian,Quanzhou,Huian County,362100,"Huian County,Quanzhou,Fujian,China",24.9917675,118.813035400803
188,Fujian,Quanzhou,Anxi ,362400,"Anxi ,Quanzhou,Fujian,China",25.0883325,117.9154134
189,Fujian,Quanzhou,Dehua,362500,"Dehua,Quanzhou,Fujian,China",25.667531,118.223438096199
190,Fujian,Quanzhou,Jinmen,362000,"Jinmen,Quanzhou,Fujian,China",,
191,Fujian,Quanzhou,Jinjiang,362200,"Jinjiang,Quanzhou,Fujian,China",24.784435,118.5477505
192,Fujian,Quanzhou,Nan'an,362300,"Nan'an,Quanzhou,Fujian,China",24.94111145,118.322927670003
193,Fujian,Putian,Chengxiang District,351100,"Chengxiang District,Putian,Fujian,China",25.4258611,118.932039930886
194,Fujian,Putian,Hanjiang District,351100,"Hanjiang District,Putian,Fujian,China",25.57418155,119.067559491764
195,Fujian,Putian,Licheng District,351100,"Licheng District,Putian,Fujian,China",25.4272241,119.048838440749
196,Fujian,Putian,Xianyou County,351200,"Xianyou County,Putian,Fujian,China",25.3634907,118.6868364
197,Fujian,Putian,Xiuyu District,351100,"Xiuyu District,Putian,Fujian,China",25.23099195,119.219029414472
198,Fujian,Sanming,Meilie District,365000,"Meilie District,Sanming,Fujian,China",26.2750213,117.6413951
199,Fujian,Sanming,Qingliu,365300,"Qingliu,Sanming,Fujian,China",26.1757177,116.8075874
200,Fujian,Sanming,Youxi,365100,"Youxi,Sanming,Fujian,China",26.1490539,118.1136492
201,Fujian,Sanming,Taining,354400,"Taining,Sanming,Fujian,China",26.9030136,117.1705536
202,Fujian,Sanming,Sanyuan District,365000,"Sanyuan District,Sanming,Fujian,China",26.2374327,117.603111
203,Fujian,Sanming,Mingxi,365200,"Mingxi,Sanming,Fujian,China",26.359355,117.1967922
